Date,Open,High,Low,Close/Price,Volume
12/10/2020,382.73,399,380.27,397.96,4572146
12/11/2020,395.35,397.34,384.61,397.01,4677441
12/14/2020,388.95,396.75,376.68,395.99,6820120
12/15/2020,398.51,410.32,395.08,399.43,5144653
12/16/2020,400.49,406.56,393.46,404,4158539
12/18/2020,403.8,408.11,398.25,406.01,6174772
12/21/2020,418.07,427.76,404.58,408.97,8557350
12/22/2020,408.5,413.5,396.5,409,4218767
12/23/2020,402,402.6,378.58,383.88,9554390
12/24/2020,383.88,384.88,375,375.17,3850734
12/28/2020,370.4,373.28,349.02,351.39,9454792
12/29/2020,350.66,359.91,350.13,353.75,6080283
12/30/2020,358.42,358.7,345.4,353.4,5474464
12/31/2020,351.77,351.83,336.1,337.32,6559744
1/4/2021,340.4,363.09,339.2,359.98,8598300
1/5/2021,360.39,365.01,349,360.83,4983521
1/6/2021,351,352.94,341.92,344.41,7124614
1/7/2021,346,354.48,341.6,342.5,5601170
1/8/2021,345.2,350,340.34,349.61,5009213
1/11/2021,344.98,349.96,336.85,337.71,3360357
1/12/2021,333.2,358.9,331.1,356.81,8972461
1/13/2021,360,384.23,348.65,364.63,14056546
1/14/2021,371,384.95,370.5,383.24,9310967
1/15/2021,397.71,404.44,382.07,384.53,12799509
1/19/2021,391.01,396.77,385.51,393.87,5709437
1/20/2021,399.11,399.53,378.32,382.8,5713892
1/21/2021,383.03,387.21,372.03,382.81,5180798
1/22/2021,380.99,385.29,376.38,383.4,2791585
1/25/2021,388.99,398.8,378.27,391.83,5178085
1/26/2021,391.08,395.82,372.2,374.39,5151261
1/27/2021,367.5,384.25,362.77,370.74,4557483
1/28/2021,368,383.31,363.86,378.59,3374206
1/29/2021,379,385.91,358.62,372.07,3958970
2/2/2021,384.5,394.89,378.68,391.84,3780072
2/3/2021,395.79,395.79,379,380.47,3433077
2/4/2021,383.5,390,376.87,389.98,2528066
2/5/2021,387.86,420,387.86,419.59,9759071
2/8/2021,420.74,422,406.5,410.81,3737875
2/9/2021,411.69,434.67,410.31,430.03,5115390
2/10/2021,431.89,441.22,416.14,431,4738316
2/11/2021,433.99,443.75,429.51,432.77,3502618
2/12/2021,431.52,435,423.13,433.11,2077846
2/16/2021,438.8,451.77,436.7,444.51,4249151
2/17/2021,440.02,441.2,418.25,429.42,4006475
2/18/2021,426.75,428.88,414,417.91,2645328
2/19/2021,419.22,425.99,414.5,417.26,2195043
2/22/2021,408.5,411.72,390.6,394.34,4340255
2/23/2021,371.01,389.99,351.81,388.16,5558188
2/24/2021,383.13,388.68,375.62,385.23,3442360
2/25/2021,383.78,387.66,361.01,364.73,4585104
2/26/2021,367.95,377.09,356.17,373.61,4702413
3/1/2021,388.66,416.2,387.01,409.66,10044698
3/2/2021,439.6,440,371.82,372.79,18156568
3/3/2021,383,383.25,339,341.57,15526026
3/4/2021,347.8,358.3,333,343.09,10328083
3/5/2021,345.39,347.75,314.38,337.43,8255524
3/8/2021,334.99,339.35,309,310.93,6899076
3/9/2021,331.95,343.58,320.8,342.11,5705183
3/10/2021,347.99,355.69,333.01,336.03,4729969
3/11/2021,347.99,357.4,338.8,355.17,3915392
3/12/2021,342.01,350.44,338.43,346.39,2960750
3/15/2021,347.08,351.56,343.5,350,1993509
3/17/2021,328.57,340.54,322.66,336.65,3593229
3/18/2021,330,330.33,316,316.32,5446757
3/19/2021,316.83,327.98,313.63,326.26,4981385
3/22/2021,329.45,333.89,327.01,328.5,2947934
3/23/2021,330,347.4,329.35,339.76,5723818
3/24/2021,338.68,339.99,314.35,314.96,4924523
3/25/2021,310.95,320.63,308.31,314.85,3564820
3/26/2021,312.89,320,306.75,319.95,3219843
